school_name,address,postal_code,url_address,region,education_level,lat,lon
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD   ,739111,http://www.woodlandssec.moe.edu.sg,North,Secondary,1.436,103.786
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1   ,538882,http://www.xinghuapri.moe.edu.sg,North,Primary,1.365,103.875
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91   ,649036,http://www.xingnanpri.moe.edu.sg,West,Primary,1.34,103.702
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8   ,538784,https://xinminpri.moe.edu.sg/,North,Primary,1.365,103.875
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8   ,538789,https://www.xinminsec.moe.edu.sg/,North,Secondary,1.365,103.875
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21   ,768611,https://www.xishanpri.moe.edu.sg/,North,Primary,1.428,103.837
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3   ,556108,http://www.yangzhengpri.moe.edu.sg/,North,Primary,1.365,103.875
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64   ,689100,http://www.yewteepri.moe.edu.sg,West,Primary,1.384,103.745
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51   ,538720,http://www.yiochukangpri.moe.edu.sg,North,Primary,1.365,103.875
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5   ,569868,http://www.yiochukangsec.moe.edu.sg,North,Secondary,1.369,103.845
YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD   ,768675,https://yijc.moe.edu.sg/,North,Junior College,1.428,103.837
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD   ,768679,http://www.yishunpri.moe.edu.sg,North,Primary,1.428,103.837
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71   ,768516,http://www.yishunsec.moe.edu.sg,North,Secondary,1.428,103.837
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21   ,768610,http://www.yishuntownsec.moe.edu.sg,North,Secondary,1.428,103.837
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3   ,469623,http://www.ynps.moe.edu.sg/,East,Primary,1.323,103.935
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD   ,618654,https://yuanchingsec.moe.edu.sg/,West,Secondary,1.32,103.732
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24   ,609558,http://www.yuhuapri.moe.edu.sg,West,Primary,1.334,103.743
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41   ,649406,http://www.yuhuasec.moe.edu.sg,West,Secondary,1.34,103.702
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21   ,529393,http://www.yuminpri.moe.edu.sg,East,Primary,1.352,103.944
YUSOF ISHAK SECONDARY SCHOOL,8 SUMANG WALK   ,828676,http://www.yusofishaksec.moe.edu.sg,North,Secondary,1.4,103.902
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1   ,538884,http://www.yuyingsec.moe.edu.sg,North,Secondary,1.365,103.875
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina   ,169485,http://www.zhangdepri.moe.edu.sg/,Central,Primary,1.286,103.818
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road   ,679002,http://www.zhenghuapri.moe.edu.sg,West,Primary,1.378,103.763
ZHENGHUA SECONDARY SCHOOL,62 Bukit Panjang Ring Road   ,679962,http://www.zhenghuasec.moe.edu.sg,West,Secondary,1.378,103.763
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4   ,556095,http://www.zhonghuapri.moe.edu.sg,North,Primary,1.365,103.875
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3   ,556123,https://www.zhonghuasec.moe.edu.sg,North,Secondary,1.365,103.875
