Source,Project,Address,Price,Size_sqft,PSF
SRX,Multi Storey Car Park,"Multi Storey Car Park, Retail •, 1,582 sqft",6288,1582,3.97
SRX,"1,582 sqft | $3.97 psf(Built)","1,582 sqft, $3.97 psf(Built), $6,288",6288,1582,3.97
EdgeProp,Unknown,"$4 PSF, D22, 1,774 sqft",7096,1774,4.0
EdgeProp,RELIANCE BUILDING,"$3,200, RELIANCE BUILDING, 6 Malls nearby",3200,800,4.0
EdgeProp,Unknown,"$4 PSF, 800 sqft, Unknown",3200,800,4.0
EdgeProp,Freehold,"$4 PSF, 732 sqft, Freehold",2928,732,4.0
EdgeProp,Upper Cross Street,"$4 PSF, 1,527 sqft, 99 Years",6108,1527,4.0
EdgeProp,Jalan Sultan,"$4 PSF, Built: 1974, 883 sqft",3532,883,4.0
EdgeProp,$4 PSF,"$4 PSF, D20, Built: 2010",2000,500,4.0
EdgeProp,Changi Business Park Crescent,"$4 PSF, D16, 15,000 sqft",60000,15000,4.0
EdgeProp,Changi Business Park Crescent,"$4 PSF, D16, 6,000 sqft",24000,6000,4.0
EdgeProp,Unknown,"$4 PSF, 7,200 sqft, Unknown",28800,7200,4.0
EdgeProp,NEW TECH PARK,"$26,000, NEW TECH PARK, 1 MRT/LRT Currently nearby",26000,6500,4.0
EdgeProp,Lorong Chuan,"$4 PSF, D19, 6,500 sqft",26000,6500,4.0
EdgeProp,NEW TECH PARK,"$59,244, NEW TECH PARK, 3 Bus Stops nearby",59244,14811,4.0
EdgeProp,Lorong Chuan,"$4 PSF, D19, 14,811 sqft",59244,14811,4.0
EdgeProp,NEW TECH PARK,"$50,804, NEW TECH PARK, 1 MRT/LRT Currently nearby",50804,12701,4.0
EdgeProp,Lorong Chuan,"$4 PSF, D19, 12,701 sqft",50804,12701,4.0
EdgeProp,NEW TECH PARK,"$66,824, NEW TECH PARK, 3 Bus Stops nearby",66824,16706,4.0
EdgeProp,Lorong Chuan,"$4 PSF, D19, 16,706 sqft",66824,16706,4.0
EdgeProp,NEW TECH PARK,"$51,924, NEW TECH PARK, 3 Bus Stops nearby",51924,12981,4.0
EdgeProp,Lorong Chuan,"$4 PSF, D19, 12,981 sqft",51924,12981,4.0
EdgeProp,99 Yrs From 02/06/1969,"$4 PSF, 646 sqft, 99 Yrs From 02/06/1969",2584,646,4.0
EdgeProp,Woodlands Square,"$4 PSF, D25, Built: 2000",2240,560,4.0
EdgeProp,Freehold,"$4 PSF, Built: 2016, 1,033 sqft",4132,1033,4.0
SRX,Upper Weld Road,"Upper Weld Road, Food And Beverage •, 6,448 sqft",26000,6448,4.03
SRX,"6,448 sqft | $4.03 psf(Built)","6,448 sqft, $4.03 psf(Built), $26,000",26000,6448,4.03
99co,Macpherson Mall,"S$ 5,300/mo, S$ 4.08 psf, Macpherson Mall",5300,1300,4.08
99co,"S$ 5,300/mo","S$ 5,300/mo, S$ 4.08 psf",5300,1299,4.08
SRX,Upper Paya Lebar Road,"13d, Upper Paya Lebar Road, Food And Beverage •",10000,2450,4.08
SRX,"2,450 sqft | $4.08 psf(Built)","2,450 sqft, $4.08 psf(Built), $10,000",10000,2450,4.08
EdgeProp,SIM LIM TOWER,"$3,000, SIM LIM TOWER, Less than 30 mins to City Centre",3000,732,4.1
99co,Desker Road Conservation Area,"S$ 9,500/mo, S$ 4.13 psf, Desker Road Conservation Area",9500,2300,4.13
99co,"S$ 9,500/mo","S$ 9,500/mo, S$ 4.13 psf",9500,2300,4.13
99co,Little India Conservation Area,"S$ 26,000/mo, S$ 4.17 psf, Little India Conservation Area",26000,6239,4.17
99co,"S$ 26,000/mo","S$ 26,000/mo, S$ 4.17 psf",26000,6235,4.17
99co,Desker Road Conservation Area,"S$ 7,500/mo, S$ 4.17 psf, Desker Road Conservation Area",7500,1800,4.17
99co,"S$ 7,500/mo","S$ 7,500/mo, S$ 4.17 psf",7500,1798,4.17
99co,"27 Dickson Road, 209510","S$ 4,188/mo, S$ 4.19 psf, 27 Dickson Road, 209510",4188,1000,4.19
99co,"S$ 4,188/mo","S$ 4,188/mo, S$ 4.19 psf",4188,999,4.19
EdgeProp,THE SYNERGY,"$7,451, THE SYNERGY, 1 Park nearby",7451,1774,4.2
EdgeProp,ALICE @ MEDIAPOLIS,"$30,240, ALICE @ MEDIAPOLIS, 1 Mall nearby",30240,7200,4.2
99co,"180 Joo Chiat Road, 427451","S$ 4,000/mo, S$ 4.21 psf, 180 Joo Chiat Road, 427451",4000,950,4.21
99co,"S$ 4,000/mo","S$ 4,000/mo, S$ 4.21 psf",4000,950,4.21
99co,READY TO MOVE,"READY TO MOVE, Curated by 99, S$ 14,000/mo",14000,3320,4.22
99co,"S$ 14,000/mo","S$ 14,000/mo, S$ 4.22 psf",14000,3317,4.22
SRX,Pasir Ris Beach Park,"Pasir Ris Beach Park, Retail •, 3,320 sqft",14000,3320,4.22
SRX,"3,320 sqft | $4.22 psf(Built)","3,320 sqft, $4.22 psf(Built), $14,000",14000,3320,4.22
SRX,Macpherson Mall,"14d, Macpherson Mall, Food And Beverage •",2500,592,4.22
SRX,592 sqft | $4.22 psf(Built),"592 sqft, $4.22 psf(Built), $2,500",2500,592,4.22
99co,"10 Upper Pickering Street, 058285","S$ 4,500/mo, S$ 4.29 psf, 10 Upper Pickering Street, 058285",4500,1050,4.29
99co,"S$ 4,500/mo","S$ 4,500/mo, S$ 4.29 psf",4500,1048,4.29
SRX,Macpherson Road,"15d, Macpherson Road, Retail •",6000,1400,4.29
SRX,"1,400 sqft | $4.29 psf(Built)","1,400 sqft, $4.29 psf(Built), $6,000",6000,1400,4.29
SRX,Harbourside Building 1,"13d, Harbourside Building 1, Vehicle Showroom •",6757,1571,4.3
SRX,"1,571 sqft | $4.30 psf(Built)","1,571 sqft, $4.30 psf(Built), $6,757",6757,1571,4.3
EdgeProp,HIGH STREET CENTRE,"$2,800, HIGH STREET CENTRE, 18 Malls nearby",2800,646,4.33
99co,Race Course Road/Owen Road Conservation ,"S$ 10,000/mo, S$ 4.35 psf, Race Course Road/Owen Road Conservation Area",10000,2300,4.35
99co,"S$ 10,000/mo","S$ 10,000/mo, S$ 4.35 psf",10000,2298,4.35
99co,AVAIL 16/09/26,"AVAIL 16/09/26, Curated by 99, S$ 4,800/mo",4800,1100,4.36
99co,"S$ 4,800/mo","S$ 4,800/mo, S$ 4.36 psf, NEGO",4800,1100,4.36
99co,READY TO MOVE,"READY TO MOVE, S$ 35,000/mo, S$ 4.38 psf",35000,8000,4.38
99co,"S$ 35,000/mo","S$ 35,000/mo, S$ 4.38 psf, NEGO",35000,7990,4.38
EdgeProp,MIDVIEW CITY,"$2,200, MIDVIEW CITY, Office",2200,500,4.4
SRX,Tuas View Walk 1,"Tuas View Walk 1, Food And Beverage •, 4,500 sqft",20000,4500,4.44
SRX,"4,500 sqft | $4.44 psf(Built)","4,500 sqft, $4.44 psf(Built), $20,000",20000,4500,4.44
EdgeProp,991 ALEXANDRA,"$9,000, 991 ALEXANDRA, Less than 30 mins to City Centre",9000,2000,4.5
EdgeProp,991 ALEXANDRA,"$8,415, 991 ALEXANDRA, 1 Mall nearby",8415,1870,4.5
EdgeProp,PLAZA 8 @ CBP,"$100,489, PLAZA 8 @ CBP, 1 MRT/LRT Currently nearby",100489,22331,4.5
99co,Ubi 55,"S$ 39,897/mo, S$ 4.5 psf, Ubi 55",39897,8866,4.5
99co,"S$ 39,897/mo","S$ 39,897/mo, S$ 4.5 psf",39897,8866,4.5
EdgeProp,CT HUB 2,"$4,400, CT HUB 2, Office",4400,969,4.54
99co,Enquire on multiple listings at once,"Faster enquiries, S$ 5,000/mo, S$ 4.56 psf",5000,1097,4.56
99co,"S$ 5,000/mo","S$ 5,000/mo, S$ 4.56 psf",5000,1096,4.56
99co,NEGO,"S$ 5,500/mo, S$ 4.58 psf, NEGO",5500,1200,4.58
99co,"S$ 5,500/mo","S$ 5,500/mo, S$ 4.58 psf, NEGO",5500,1200,4.58
EdgeProp,Selegie Road,"$2,799, PARKLANE SHOPPING MALL, 2 Bus Stops nearby",2799,610,4.59
